kind,value,source
extension,sh-session,github-linguist + curated
extension,sh.in,github-linguist + curated
extension,sha1,github-linguist + curated
extension,sha2,github-linguist + curated
extension,sha224,github-linguist + curated
extension,sha256,github-linguist + curated
extension,sha256sum,github-linguist + curated
extension,sha3,github-linguist + curated
extension,sha384,github-linguist + curated
extension,sha512,github-linguist + curated
extension,shen,github-linguist + curated
extension,shproj,github-linguist + curated
extension,sieve,github-linguist + curated
extension,sig,github-linguist + curated
extension,sj,github-linguist + curated
extension,sjs,github-linguist + curated
extension,sl,github-linguist + curated
extension,slang,github-linguist + curated
extension,slint,github-linguist + curated
extension,sln,github-linguist + curated
extension,slnx,github-linguist + curated
extension,slurm,github-linguist + curated
extension,smithy,github-linguist + curated
extension,smk,github-linguist + curated
extension,smt,github-linguist + curated
extension,smt2,github-linguist + curated
extension,snap,github-linguist + curated
extension,snip,github-linguist + curated
extension,snippet,github-linguist + curated
extension,snippets,github-linguist + curated
extension,soy,github-linguist + curated
extension,sparql,github-linguist + curated
extension,spc,github-linguist + curated
extension,spin,github-linguist + curated
extension,sqf,github-linguist + curated
extension,sqlrpgle,github-linguist + curated
extension,sra,github-linguist + curated
extension,srdf,github-linguist + curated
extension,sru,github-linguist + curated
extension,srv,github-linguist + curated
extension,srw,github-linguist + curated
extension,ssjs,github-linguist + curated
extension,sss,github-linguist + curated
extension,stan,github-linguist + curated
extension,star,github-linguist + curated
extension,sthlp,github-linguist + curated
extension,stl,github-linguist + curated
extension,ston,github-linguist + curated
extension,story,github-linguist + curated
extension,storyboard,github-linguist + curated
extension,sttheme,github-linguist + curated
extension,sublime-build,github-linguist + curated
extension,sublime-color-scheme,github-linguist + curated
extension,sublime-commands,github-linguist + curated
extension,sublime-completions,github-linguist + curated
extension,sublime-keymap,github-linguist + curated
extension,sublime-macro,github-linguist + curated
extension,sublime-menu,github-linguist + curated
extension,sublime-mousemap,github-linguist + curated
extension,sublime-project,github-linguist + curated
extension,sublime-settings,github-linguist + curated
extension,sublime-snippet,github-linguist + curated
extension,sublime-syntax,github-linguist + curated
extension,sublime-theme,github-linguist + curated
extension,sublime-workspace,github-linguist + curated
extension,sublime_metrics,github-linguist + curated
extension,sublime_session,github-linguist + curated
extension,surql,github-linguist + curated
extension,sv,github-linguist + curated
